Word(s),Spoken Form (If Different)
under-documented,under documented
admin
Cisco
Citrix
VPN
DNS
Minecraft
params
CSIRO
args
Tadro,tadroh
magrittr,magrittare
dplyr,dee ply are
devtools
nrow,enrow
tibble
tribble
audulus
